DATE,UNRATE,LNS14000006,LNS14000009,LNS14000003,LNU04032183
2000-01-01,4.0333333333333333,7.9000000000000000,5.8000000000000000,3.5000000000000000,3.8333333333333333
2000-04-01,3.9333333333333333,7.5000000000000000,5.6333333333333333,3.4333333333333333,3.8333333333333333
2000-07-01,4.0000000000000000,7.6333333333333333,5.8333333333333333,3.5333333333333333,3.7333333333333333
2000-10-01,3.9000000000000000,7.3333333333333333,5.6000000000000000,3.4666666666666667,3.1000000000000000
2001-01-01,4.2333333333333333,8.0666666666666667,6.0333333333333333,3.6666666666666667,3.4333333333333333
2001-04-01,4.4000000000000000,8.0666666666666667,6.4333333333333333,3.9000000000000000,3.8666666666666667
2001-07-01,4.8333333333333333,8.6666666666666667,6.4666666666666667,4.2000000000000000,5.2333333333333333
2001-10-01,5.5000000000000000,9.8000000000000000,7.3666666666666667,4.9000000000000000,5.3000000000000000
2002-01-01,5.7000000000000000,10.1333333333333333,7.4333333333333333,5.0333333333333333,5.6000000000000000
2002-04-01,5.8333333333333333,10.4666666666666667,7.5000000000000000,5.1333333333333333,6.2333333333333333
2002-07-01,5.7333333333333333,9.7666666666666667,7.4333333333333333,5.1333333333333333,6.0333333333333333
2002-10-01,5.8666666666666667,10.6000000000000000,7.8666666666666667,5.1000000000000000,5.7000000000000000
2003-01-01,5.8666666666666667,10.5000000000000000,7.8000000000000000,5.1333333333333333,6.0333333333333333
2003-04-01,6.1333333333333333,11.1000000000000000,7.9666666666666667,5.4000000000000000,6.2333333333333333
2003-07-01,6.1333333333333333,10.9666666666666667,7.6666666666666667,5.3666666666666667,6.1000000000000000
2003-10-01,5.8333333333333333,10.5666666666666667,7.2000000000000000,5.1000000000000000,5.5333333333333333
2004-01-01,5.7000000000000000,10.1333333333333333,7.4333333333333333,5.0000000000000000,4.7000000000000000
2004-04-01,5.6000000000000000,10.0333333333333333,6.8666666666666667,4.9666666666666667,4.5333333333333333
2004-07-01,5.4333333333333333,10.6000000000000000,6.8000000000000000,4.6666666666666667,4.0666666666666667
2004-10-01,5.4333333333333333,10.7333333333333333,6.7000000000000000,4.5666666666666667,4.3666666666666667
2005-01-01,5.3000000000000000,10.6666666666666667,6.0333333333333333,4.5333333333333333,4.2000000000000000
2005-04-01,5.1000000000000000,10.2000000000000000,6.0333333333333333,4.3666666666666667,3.9333333333333333
2005-07-01,4.9666666666666667,9.4333333333333333,5.9000000000000000,4.2666666666666667,4.3000000000000000
2005-10-01,4.9666666666666667,9.6333333333333333,6.0666666666666667,4.3000000000000000,3.5000000000000000
2006-01-01,4.7333333333333333,9.3000000000000000,5.3666666666666667,4.0666666666666667,3.2666666666666667
2006-04-01,4.6333333333333333,9.0000000000000000,5.2333333333333333,4.1000000000000000,3.3666666666666667
2006-07-01,4.6333333333333333,9.1000000000000000,5.3333333333333333,4.0333333333333333,2.8000000000000000
2006-10-01,4.4333333333333333,8.4000000000000000,4.9666666666666667,3.9333333333333333,2.7666666666666667
2007-01-01,4.5000000000000000,8.1000000000000000,5.2000000000000000,4.0333333333333333,2.9666666666666667
2007-04-01,4.5000000000000000,8.3666666666666667,5.6333333333333333,4.0000000000000000,3.1000000000000000
2007-07-01,4.6666666666666667,7.9000000000000000,5.7666666666666667,4.2000000000000000,3.2000000000000000
2007-10-01,4.8000000000000000,8.6666666666666667,5.9666666666666667,4.2333333333333333,3.6666666666666667
2008-01-01,5.0000000000000000,8.9000000000000000,6.4666666666666667,4.4333333333333333,3.2666666666666667
2008-04-01,5.3333333333333333,9.2000000000000000,7.2000000000000000,4.7333333333333333,3.8333333333333333
2008-07-01,6.0000000000000000,10.6333333333333333,7.8333333333333333,5.3333333333333333,4.0666666666666667
2008-10-01,6.8666666666666667,11.6666666666666667,8.9666666666666667,6.2666666666666667,4.5666666666666667
2009-01-01,8.2666666666666667,13.3666666666666667,11.0333333333333333,7.5666666666666667,6.5000000000000000
2009-04-01,9.3000000000000000,14.9333333333333333,11.9333333333333333,8.4333333333333333,7.1666666666666667
2009-07-01,9.6333333333333333,14.9666666666666667,12.7000000000000000,8.8333333333333333,7.7333333333333333
2009-10-01,9.9333333333333333,15.8666666666666667,12.6666666666666667,9.1333333333333333,7.7333333333333333
2010-01-01,9.8333333333333333,16.4666666666666667,12.8333333333333333,8.8666666666666667,8.1000000000000000
